n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
842,1,0,0,0,0,0,2
843,0,1,0,0,0,0,2
844,2,0,0,0,0,0,3
845,0,0,1,0,0,0,3
846,1,2,0,0,2,0,4
847,0,0,0,1,0,2,3
848,4,0,0,0,0,0,5
849,0,1,0,0,0,0,2
850,1,0,2,0,0,0,4
851,0,0,0,0,0,0,2
852,2,1,0,0,0,0,4
853,0,0,0,0,0,0,1
854,1,0,0,1,0,0,3
855,0,2,1,0,2,0,4
856,3,0,0,0,0,0,4
857,0,0,0,0,0,0,1
858,1,1,0,0,0,1,4
859,0,0,0,0,0,0,1
860,2,0,1,0,0,0,4
861,0,1,0,1,0,0,3
