sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
250,32,4,GB,OW,1,15,15F,burned,13,GB-OW-01-1,1,10,I,GB-OW-01-1-1-10-I,2018-06-26
146,19,2,GB,OW,1,15,15F,burned,13,GB-OW-01-1,1,10,S,GB-OW-01-1-1-10-S,2018-06-26
530,67,6,GB,OW,1,15,15F,burned,13,GB-OW-01-1,1,20,I,GB-OW-01-1-1-20-I,2018-06-26
263,33,4,GB,OW,1,15,15F,burned,13,GB-OW-01-1,1,20,S,GB-OW-01-1-1-20-S,2018-06-26
466,59,6,GB,OW,1,15,15F,burned,13,GB-OW-01-1,2,10,I,GB-OW-01-1-2-10-I,2018-06-26
168,21,1,GB,OW,1,15,15F,burned,13,GB-OW-01-1,2,10,S,GB-OW-01-1-2-10-S,2018-06-26
364,46,6,GB,OW,1,15,15F,burned,13,GB-OW-01-1,2,20,I,GB-OW-01-1-2-20-I,2018-06-26
395,50,5,GB,OW,1,15,15F,burned,13,GB-OW-01-1,2,20,S,GB-OW-01-1-2-20-S,2018-06-26
474,60,5,GB,OW,1,15,15F,burned,13,GB-OW-01-1,3,10,I,GB-OW-01-1-3-10-I,2018-06-26
132,17,3,GB,OW,1,15,15F,burned,13,GB-OW-01-1,3,10,S,GB-OW-01-1-3-10-S,2018-06-26
235,30,3,GB,OW,1,15,15F,burned,13,GB-OW-01-1,3,20,I,GB-OW-01-1-3-20-I,2018-06-26
322,41,2,GB,OW,1,15,15F,burned,13,GB-OW-01-1,3,20,S,GB-OW-01-1-3-20-S,2018-06-26
539,68,6,GB,OW,1,15,15F,burned,14,GB-OW-01-2,1,10,I,GB-OW-01-2-1-10-I,2018-06-26
258,33,4,GB,OW,1,15,15F,burned,14,GB-OW-01-2,1,10,S,GB-OW-01-2-1-10-S,2018-06-26
215,27,2,GB,OW,1,15,15F,burned,14,GB-OW-01-2,1,20,I,GB-OW-01-2-1-20-I,2018-06-26
131,17,3,GB,OW,1,15,15F,burned,14,GB-OW-01-2,1,20,S,GB-OW-01-2-1-20-S,2018-06-26
427,54,6,GB,OW,1,15,15F,burned,14,GB-OW-01-2,2,10,I,GB-OW-01-2-2-10-I,2018-06-26
8,1,1,GB,OW,1,15,15F,burned,14,GB-OW-01-2,2,10,S,GB-OW-01-2-2-10-S,2018-06-26
387,49,5,GB,OW,1,15,15F,burned,14,GB-OW-01-2,2,20,I,GB-OW-01-2-2-20-I,2018-06-26
161,21,1,GB,OW,1,15,15F,burned,14,GB-OW-01-2,2,20,S,GB-OW-01-2-2-20-S,2018-06-26
485,61,5,GB,OW,1,15,15F,burned,14,GB-OW-01-2,3,10,I,GB-OW-01-2-3-10-I,2018-06-26
344,43,1,GB,OW,1,15,15F,burned,14,GB-OW-01-2,3,10,S,GB-OW-01-2-3-10-S,2018-06-26
172,22,1,GB,OW,1,15,15F,burned,14,GB-OW-01-2,3,20,I,GB-OW-01-2-3-20-I,2018-06-26
328,41,2,GB,OW,1,15,15F,burned,14,GB-OW-01-2,3,20,S,GB-OW-01-2-3-20-S,2018-06-26
289,37,3,GB,OW,1,15,15F,burned,15,GB-OW-01-3,1,10,I,GB-OW-01-3-1-10-I,2018-06-26
422,53,5,GB,OW,1,15,15F,burned,15,GB-OW-01-3,1,10,S,GB-OW-01-3-1-10-S,2018-06-26
332,42,2,GB,OW,1,15,15F,burned,15,GB-OW-01-3,1,20,I,GB-OW-01-3-1-20-I,2018-06-26
440,55,6,GB,OW,1,15,15F,burned,15,GB-OW-01-3,1,20,S,GB-OW-01-3-1-20-S,2018-06-26
47,6,3,GB,OW,1,15,15F,burned,15,GB-OW-01-3,2,10,I,GB-OW-01-3-2-10-I,2018-06-26
91,12,4,GB,OW,1,15,15F,burned,15,GB-OW-01-3,2,10,S,GB-OW-01-3-2-10-S,2018-06-26
398,50,5,GB,OW,1,15,15F,burned,15,GB-OW-01-3,2,20,I,GB-OW-01-3-2-20-I,2018-06-26
