sample,fctngrp,count,tray_num,block_num,desert,fire_name_fg,fire_year_fg,TSF_fg,TSF2_fg,burn_fg,plot_num_fg,fullplot_name_fg,line_fg,location_fg,overstory_fg,unique_ID_fg,date_coll_fg,data_type,fire_name_attr,fire_year_attr,TSF_attr,TSF2_attr,burn_attr,plot_num_attr,fullplot_name_attr,line_attr,location_attr,overstory_attr,unique_ID_attr,date_coll_attr
36,AF,5,5,2,CH,KNT,89,30,30F,burned,1,CH-KNT-89-1,2,20,S,CH-KNT-89-1-2-20-S,2018-10-22,seedbank,KNT,89,30,30F,burned,7,CH-KNT-89-1,2,20,S,CH-KNT-89-1-2-20-S,2018-10-22
37,PF,7,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07
37,PG,2,5,2,CP,,89,30,30F,burned,1,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,1,10,I,MV-89-1-1-1-10-I,2018-06-07
38,AF,31,5,2,CH,KNT,CON,control,30C,control,1,CH-KNT-CON-1,2,10,S,CH-KNT-CON-1-2-10-S,2018-10-24,seedbank,KNT,CON,control,30C,control,10,CH-KNT-CON-1,2,10,S,CH-KNT-CON-1-2-10-S,2018-10-24
39,AF,6,5,2,CH,JCB,CON,control,15C,control,2,CH-JCB-CON-2,2,20,S,CH-JCB-CON-2-2-20-S,2018-10-21,seedbank,JCB,CON,control,15C,control,5,CH-JCB-CON-2,2,20,S,CH-JCB-CON-2-2-20-S,2018-10-21
40,AG,5,5,2,SO,GST,CON,control,15C,control,1,SO-GST-CON-1,2,20,I,SO-GST-CON-1-2-20-I,2018-09-25,seedbank,GST,CON,control,15C,control,43,SO-GST-CON-1,2,20,I,SO-GST-CON-1-2-20-I,2018-09-25
41,AF,1,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25
41,PF,1,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25
41,PG,9,6,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25,seedbank,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25
42,AF,60,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23
42,AG,3,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23
42,SH,5,6,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,3,20,S,SO-GAT-80-2-3-20-S,2018-09-23
43,AF,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank,,89,30,30F,burned,29,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07
43,PF,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank,,89,30,30F,burned,29,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07
43,PG,1,6,3,CP,,89,30,30F,burned,2,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07,seedbank,,89,30,30F,burned,29,MV-89-2,1,20,S,MV-89-2-1-1-20-S,2018-06-07
44,AF,24,6,3,SO,GAT,CON,control,30C,control,1,SO-GAT-CON-1,1,10,I,SO-GAT-CON-1-1-10-I,2018-09-24,seedbank,GAT,CON,control,30C,control,37,SO-GAT-CON-1,1,10,I,SO-GAT-CON-1-1-10-I,2018-09-24
45,AF,1,6,3,CH,KNT,89,30,30F,burned,2,CH-KNT-89-2,3,10,S,CH-KNT-89-2-3-10-S,2018-10-22,seedbank,KNT,89,30,30F,burned,8,CH-KNT-89-2,3,10,S,CH-KNT-89-2-3-10-S,2018-10-22
46,AF,8,6,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,10,S,CH-JCB-01-2-1-10-S,2018-10-19,seedbank,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,10,S,CH-JCB-01-2-1-10-S,2018-10-19
47,PG,2,6,3,GB,OW,1,15,15F,burned,3,GB-OW-01-3,2,10,I,GB-OW-01-3-2-10-I,2018-06-26,seedbank,OW,1,15,15F,burned,15,GB-OW-01-3,2,10,I,GB-OW-01-3-2-10-I,2018-06-26
49,AF,1,7,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25,seedbank,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25
49,PG,2,7,3,GB,OW,CON,control,15C,control,2,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25,seedbank,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25
50,AF,3,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20,seedbank,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20
50,PG,1,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20,seedbank,JCB,1,15,15F,burned,3,CH-JCB-01-3,2,20,I,CH-JCB-01-3-2-20-I,2018-10-20
52,AF,1,7,3,GB,RAD,CON,control,30C,control,1,GB-RAD-CON-1,2,20,I,GB-RAD-CON-1-2-20-I,2018-06-23,seedbank,RAD,CON,control,30C,control,22,GB-RAD-CON-1,2,20,I,GB-RAD-CON-1-2-20-I,2018-06-23
53,AG,19,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank,RAD,84,30,30F,burned,20,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23
53,PF,1,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank,RAD,84,30,30F,burned,20,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23
53,PG,31,7,3,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23,seedbank,RAD,84,30,30F,burned,20,GB-RAD-84-2,1,10,I,GB-RAD-84-2-1-10-I,2018-06-23
54,AF,4,7,3,CH,JCB,1,15,15F,burned,3,CH-JCB-01-3,3,10,S,CH-JCB-01-3-3-10-S,2018-10-20,seedbank,JCB,1,15,15F,burned,3,CH-JCB-01-3,3,10,S,CH-JCB-01-3-3-10-S,2018-10-20
55,AG,1,7,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23
55,SH,4,7,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,2,10,S,SO-GAT-80-2-2-10-S,2018-09-23
56,PF,4,7,3,CP,,89,30,30F,burned,1,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07
56,PG,6,7,3,CP,,89,30,30F,burned,1,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07,seedbank,,89,30,30F,burned,28,MV-89-1,2,10,S,MV-89-1-2-2-10-S,2018-06-07
57,AF,2,8,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23
57,AG,1,8,3,SO,GAT,80,30,30F,burned,2,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23,seedbank,GAT,80,30,30F,burned,35,SO-GAT-80-2,3,20,I,SO-GAT-80-2-3-20-I,2018-09-23
58,AF,3,8,3,CH,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,20,I,CH-JCB-01-2-1-20-I,2018-10-19,seedbank,JCB,1,15,15F,burned,2,CH-JCB-01-2,1,20,I,CH-JCB-01-2-1-20-I,2018-10-19
