lmfdb_label,conductor,disc,rank,regulator,mwgens,abs_disc,log_disc,tau,log_regulator
4944.k1,4944,-51259392.0,1,0.4382408880963849,"[(4, 18)]",51259392.0,7.709773450607278,2.8765212485532548,-0.35828710489114085
4945.a1,4945,-112483915.0,1,1.009840750289557,"[(132, 1483)]",112483915.0,8.05109042354797,2.919839983846409,0.004252891921198199
4945.c1,4945,-112483915.0,1,0.2193504422698352,"[(63, 494)]",112483915.0,8.05109042354797,2.919839983846409,-0.6588614854049916
4945.d1,4945,-204367578125.0,1,0.2435088393015786,"[(2, 114)]",204367578125.0,11.310411998320516,3.2597561625038898,-0.6134852692187442
4947.b1,4947,-61308171.0,1,0.2184469983292888,"[(19, 76)]",61308171.0,7.78751836006043,2.8865546869909062,-0.6606539183362058
4947.c1,4947,-756891.0,1,0.5511451437043855,"[(5, 8)]",756891.0,5.87903334118178,2.605424795885498,-0.2587340148461098
4949.b1,4949,-4949.0,1,0.5811584271363233,"[(3, -1)]",4949.0,3.694517453811156,2.1408823967521817,-0.2357054602164394
4949.c1,4949,-582244901.0,1,5.738021267881993,"[(223/2, 1953/2)]",582244901.0,8.765105693896697,3.0048110221789908,0.7587621536259265
4949.d1,4949,11882549.0,1,1.101596739395208,"[(19, 73)]",11882549.0,7.074909613868184,2.790587113270659,0.04202264182644991
4949.f1,4949,-353393243.0,1,1.1233390222379538,"[(88/3, 1282/3)]",353393243.0,8.548258241390698,2.979759992986788,0.05051084558525889
4950.i2,4950,-346420800000000.0,1,2.1506307945206538,"[(280, 5044)]",346420800000000.0,14.539603960291112,3.5109086790381543,0.3325658601217664
4950.l1,4950,-6415200000000.0,1,0.6471171357830438,"[(119, 53)]",6415200000000.0,12.807210200468143,3.384040754492949,-0.18901709975913394
4950.n1,4950,-10479229200.0,1,1.7420417609027805,"[(40, 34)]",10479229200.0,10.0203293392796,3.1386484085561044,0.24105856189763497
4950.o1,4950,-6.706706688e+19,1,1.4564543423119356,"[(-610, 25649)]",6.706706688e+19,19.826509313263486,3.8210523416875573,0.16329687471764984
4950.p1,4950,-338301562500.0,1,0.5871652785566444,"[(44, 203)]",338301562500.0,11.5293040036513,3.2789244137564957,-0.2312396338373248
4950.q1,4950,-33634123776000.0,1,14.981798679459972,"[(4790619/89, 508901402/89)]",33634123776000.0,13.526780118083787,3.4387038781836274,1.175563956869043
4950.u1,4950,-194059800.0,1,0.3050116185870542,"[(-7, 53)]",194059800.0,8.287935579456631,2.9488333579859165,-0.5156836169300435
4950.y2,4950,-6264843750.0,1,3.3827101794302252,"[(15/2, 143/2)]",6264843750.0,9.79691024382833,3.116099499970895,0.5292647903322951
4950.bb1,4950,-21651300.0,1,0.669288570636001,"[(15, 46)]",21651300.0,7.335483977635187,2.8267558366205416,-0.1743865912652408
4950.bc1,4950,-18344715468750.0,1,2.5193075802392175,"[(2671/2, -2625/2)]",18344715468750.0,13.263510980125213,3.4190491747559695,0.40128119341687646
4950.be1,4950,-163737956250000.0,1,3.691873715938723,"[(253, 2546)]",163737956250000.0,14.214149365295713,3.4882703479199257,0.5672468371627784
4950.bf2,4950,-6313519080000.0,1,0.5784207380303226,"[(75, 691)]",6313519080000.0,12.800271497281123,3.3834988266736707,-0.2377561446656213
4950.bh1,4950,-410572800.0,1,0.1497910749280985,"[(33, 55)]",410572800.0,8.61339017445203,2.9873504346735595,-0.8245140623476278
4950.bl1,4950,-14374800.0,1,0.1080743421244912,"[(-7, 36)]",14374800.0,7.157601810961625,2.8022074275115827,-0.9662773990433797
4950.bn1,4950,-32076000000000.0,1,0.9331580785188064,"[(119, 940)]",32076000000000.0,13.506180204804162,3.437179818885574,-0.030044779772702115
4952.a1,4952,-1267712.0,1,1.7976013900568308,"[(-2, 6)]",1267712.0,6.103020601323911,2.642816274410697,0.25469339526844187
4952.b1,4952,-158464.0,1,1.0445283001649828,"[(5, 6)]",158464.0,5.199930614331968,2.482677727348615,0.018920211173595533
4959.a1,4959,-548022930591771.0,1,0.1540163807308998,"[(-112, 1624)]",548022930591771.0,14.738798730785689,3.5245158314550737,-0.8124330861366836
